TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION,is_us_total,is_all_classes,VALUE_clipped
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1979,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4320.0,POUNDS PER ACRE,False,True,4320.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1979,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,6520.0,POUNDS PER ACRE,False,True,6520.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1979,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4220.0,POUNDS PER ACRE,False,True,4220.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1979,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4599.0,POUNDS PER ACRE,True,True,4599.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1979,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3910.0,POUNDS PER ACRE,True,True,3910.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1980,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,3840.0,POUNDS PER ACRE,False,True,3840.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1980,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4180.0,POUNDS PER ACRE,False,True,4180.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1980,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4110.0,POUNDS PER ACRE,False,True,4110.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1980,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4413.0,POUNDS PER ACRE,True,True,4413.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1980,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4230.0,POUNDS PER ACRE,False,True,4230.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1980,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,6440.0,POUNDS PER ACRE,False,True,6440.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1980,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3550.0,POUNDS PER ACRE,True,True,3550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1981,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4520.0,POUNDS PER ACRE,False,True,4520.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1981,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4700.0,POUNDS PER ACRE,False,True,4700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1981,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4080.0,POUNDS PER ACRE,False,True,4080.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1981,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4390.0,POUNDS PER ACRE,False,True,4390.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1981,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,6900.0,POUNDS PER ACRE,False,True,6900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1981,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4060.0,POUNDS PER ACRE,True,True,4060.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1981,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4819.0,POUNDS PER ACRE,True,True,4819.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1982,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4160.0,POUNDS PER ACRE,True,True,4160.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1982,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4480.0,POUNDS PER ACRE,False,True,4480.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1982,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4120.0,POUNDS PER ACRE,False,True,4120.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1982,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4290.0,POUNDS PER ACRE,False,True,4290.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1982,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4710.0,POUNDS PER ACRE,True,True,4710.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1982,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,6700.0,POUNDS PER ACRE,False,True,6700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1982,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4690.0,POUNDS PER ACRE,False,True,4690.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1983,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7040.0,POUNDS PER ACRE,False,True,7040.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1983,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4090.0,POUNDS PER ACRE,False,True,4090.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1983,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4340.0,POUNDS PER ACRE,False,True,4340.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1983,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4000.0,POUNDS PER ACRE,False,True,4000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1983,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4280.0,POUNDS PER ACRE,False,True,4280.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1983,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4598.0,POUNDS PER ACRE,True,True,4598.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1983,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3820.0,POUNDS PER ACRE,True,True,3820.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1984,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,4350.0,POUNDS PER ACRE,False,True,4350.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1984,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4150.0,POUNDS PER ACRE,True,True,4150.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1984,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,4600.0,POUNDS PER ACRE,False,True,4600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1984,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,4940.0,POUNDS PER ACRE,False,True,4940.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1984,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7120.0,POUNDS PER ACRE,False,True,7120.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1984,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,4954.0,POUNDS PER ACRE,True,True,4954.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1984,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4600.0,POUNDS PER ACRE,False,True,4600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1985,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4810.0,POUNDS PER ACRE,False,True,4810.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1985,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4370.0,POUNDS PER ACRE,True,True,4370.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1985,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7300.0,POUNDS PER ACRE,False,True,7300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1985,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5414.0,POUNDS PER ACRE,True,True,5414.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1985,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5490.0,POUNDS PER ACRE,False,True,5490.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1985,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5200.0,POUNDS PER ACRE,False,True,5200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1985,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5350.0,POUNDS PER ACRE,False,True,5350.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1986,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,6250.0,POUNDS PER ACRE,False,True,6250.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1986,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4550.0,POUNDS PER ACRE,True,True,4550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1986,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5651.0,POUNDS PER ACRE,True,True,5651.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1986,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5300.0,POUNDS PER ACRE,False,True,5300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1986,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5400.0,POUNDS PER ACRE,False,True,5400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1986,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5120.0,POUNDS PER ACRE,False,True,5120.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1986,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7700.0,POUNDS PER ACRE,False,True,7700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1987,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4550.0,POUNDS PER ACRE,True,True,4550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1987,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5100.0,POUNDS PER ACRE,False,True,5100.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1987,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5400.0,POUNDS PER ACRE,False,True,5400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1987,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5900.0,POUNDS PER ACRE,False,True,5900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1987,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7550.0,POUNDS PER ACRE,False,True,7550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1987,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5555.0,POUNDS PER ACRE,True,True,5555.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1987,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5250.0,POUNDS PER ACRE,False,True,5250.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1988,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5100.0,POUNDS PER ACRE,False,True,5100.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1988,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5514.0,POUNDS PER ACRE,True,True,5514.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1988,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4500.0,POUNDS PER ACRE,True,True,4500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1988,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,6000.0,POUNDS PER ACRE,False,True,6000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1988,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5350.0,POUNDS PER ACRE,False,True,5350.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1988,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5300.0,POUNDS PER ACRE,False,True,5300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1988,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7020.0,POUNDS PER ACRE,False,True,7020.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1989,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1989,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5200.0,POUNDS PER ACRE,False,True,5200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1989,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4430.0,POUNDS PER ACRE,True,True,4430.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1989,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5749.0,POUNDS PER ACRE,True,True,5749.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1989,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5600.0,POUNDS PER ACRE,False,True,5600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1989,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1989,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7900.0,POUNDS PER ACRE,False,True,7900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1990,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5529.0,POUNDS PER ACRE,True,True,5529.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1990,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,6000.0,POUNDS PER ACRE,False,True,6000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1990,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4860.0,POUNDS PER ACRE,True,True,4860.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1990,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5000.0,POUNDS PER ACRE,False,True,5000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1990,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1990,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7700.0,POUNDS PER ACRE,False,True,7700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1990,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4700.0,POUNDS PER ACRE,False,True,4700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1991,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4850.0,POUNDS PER ACRE,True,True,4850.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1991,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,8500.0,POUNDS PER ACRE,False,True,8500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1991,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5731.0,POUNDS PER ACRE,True,True,5731.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1991,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5600.0,POUNDS PER ACRE,False,True,5600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1991,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,6000.0,POUNDS PER ACRE,False,True,6000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1991,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5300.0,POUNDS PER ACRE,False,True,5300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1991,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5100.0,POUNDS PER ACRE,False,True,5100.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1992,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5500.0,POUNDS PER ACRE,False,True,5500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1992,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5800.0,POUNDS PER ACRE,False,True,5800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1992,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4650.0,POUNDS PER ACRE,True,True,4650.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1992,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4800.0,POUNDS PER ACRE,False,True,4800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1992,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1992,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5736.0,POUNDS PER ACRE,True,True,5736.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1992,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,8500.0,POUNDS PER ACRE,False,True,8500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1993,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5400.0,POUNDS PER ACRE,False,True,5400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1993,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5510.0,POUNDS PER ACRE,True,True,5510.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1993,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5050.0,POUNDS PER ACRE,False,True,5050.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1993,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4550.0,POUNDS PER ACRE,True,True,4550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1993,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4900.0,POUNDS PER ACRE,False,True,4900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1993,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,8300.0,POUNDS PER ACRE,False,True,8300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1993,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5300.0,POUNDS PER ACRE,False,True,5300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1994,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5200.0,POUNDS PER ACRE,False,True,5200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1994,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,8500.0,POUNDS PER ACRE,False,True,8500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1994,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4750.0,POUNDS PER ACRE,True,True,4750.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1994,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5900.0,POUNDS PER ACRE,False,True,5900.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1994,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5964.0,POUNDS PER ACRE,True,True,5964.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1994,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,6000.0,POUNDS PER ACRE,False,True,6000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1994,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1995,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5621.0,POUNDS PER ACRE,True,True,5621.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1995,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5400.0,POUNDS PER ACRE,False,True,5400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1995,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7600.0,POUNDS PER ACRE,False,True,7600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1995,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5600.0,POUNDS PER ACRE,False,True,5600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1995,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4600.0,POUNDS PER ACRE,True,True,4600.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1995,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5450.0,POUNDS PER ACRE,False,True,5450.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1995,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5300.0,POUNDS PER ACRE,False,True,5300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1996,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5550.0,POUNDS PER ACRE,False,True,5550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1996,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4870.0,POUNDS PER ACRE,True,True,4870.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1996,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,6000.0,POUNDS PER ACRE,False,True,6000.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1996,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,7490.0,POUNDS PER ACRE,False,True,7490.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1996,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,6120.0,POUNDS PER ACRE,True,True,6120.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1996,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,6200.0,POUNDS PER ACRE,False,True,6200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1996,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,6150.0,POUNDS PER ACRE,False,True,6150.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1997,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,8250.0,POUNDS PER ACRE,False,True,8250.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1997,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5300.0,POUNDS PER ACRE,False,True,5300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1997,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5700.0,POUNDS PER ACRE,False,True,5700.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1997,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5800.0,POUNDS PER ACRE,False,True,5800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1997,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,4630.0,POUNDS PER ACRE,True,True,4630.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1997,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,5500.0,POUNDS PER ACRE,False,True,5500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1997,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5897.0,POUNDS PER ACRE,True,True,5897.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1998,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,5200.0,POUNDS PER ACRE,False,True,5200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1998,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,6850.0,POUNDS PER ACRE,False,True,6850.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1998,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,5663.0,POUNDS PER ACRE,True,True,5663.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1998,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,5800.0,POUNDS PER ACRE,False,True,5800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1998,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,5800.0,POUNDS PER ACRE,False,True,5800.0
